category,unit,normal_range_lower,normal_range_upper,outlier_range_min,outlier_range_max,total_values,segment,bin_num,binning_method,bin_min,bin_max,count,percentage,token
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,below,1,quantile,1.899,24.7,55902,20.041228243139084,lab_pco2_arterial_below_2_to_25
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,below,2,quantile,24.7,28.5,56110,20.11579758725151,lab_pco2_arterial_below_25_to_28
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,below,3,quantile,28.5,31.9,55525,19.906071306935306,lab_pco2_arterial_below_28_to_32
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,below,4,quantile,31.9,34.0,77726,27.865273271550723,lab_pco2_arterial_below_32_to_34
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,below,5,quantile,34.0,35.0,33672,12.07162959112338,lab_pco2_arterial_below_34_to_35
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,normal,1,quantile,34.999,37.0,108759,27.611936509226066,lab_pco2_arterial_normal_35_to_37
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,normal,2,quantile,37.0,39.0,82156,20.85791755948452,lab_pco2_arterial_normal_37_to_39
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,normal,3,quantile,39.0,41.0,77933,19.785774491982412,lab_pco2_arterial_normal_39_to_41
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,normal,4,quantile,41.0,43.0,68613,17.41959561698368,lab_pco2_arterial_normal_41_to_43
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,normal,5,quantile,43.0,45.0,56423,14.324775822323325,lab_pco2_arterial_normal_43_to_45
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,above,1,quantile,44.999,46.9,49157,20.010258122030947,lab_pco2_arterial_above_45_to_47
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,above,2,quantile,46.9,49.0,52586,21.40609544124172,lab_pco2_arterial_above_47_to_49
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,above,3,quantile,49.0,53.0,46062,18.75038162656365,lab_pco2_arterial_above_49_to_53
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,above,4,quantile,53.0,61.0,49096,19.985426953622703,lab_pco2_arterial_above_53_to_61
pco2_arterial,mmHg,35.0,45.0,0.0,250.0,860183,above,5,quantile,61.0,249.0,48758,19.847837856540977,lab_pco2_arterial_above_61_to_249
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,below,1,quantile,2.499,24.9,24110,20.017435343932917,lab_pco2_venous_below_2_to_25
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,below,2,quantile,24.9,28.0,25795,21.41641413093113,lab_pco2_venous_below_25_to_28
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,below,3,quantile,28.0,32.0,26602,22.08642949063888,lab_pco2_venous_below_28_to_32
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,below,4,quantile,32.0,36.0,21809,18.10701980156918,lab_pco2_venous_below_32_to_36
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,below,5,quantile,36.0,40.0,22129,18.372701232927895,lab_pco2_venous_below_36_to_40
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,normal,1,quantile,39.999,41.8,10989,20.164042717163934,lab_pco2_venous_normal_40_to_42
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,normal,2,quantile,41.8,43.9,11032,20.242944695218174,lab_pco2_venous_normal_42_to_44
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,normal,3,quantile,43.9,46.0,11850,21.743917207970934,lab_pco2_venous_normal_44_to_46
pco2_venous,mmHg,40.0,52.0,0.0,250.0,196213,normal,4,quantile,46.0,48.7,9765,17.918088737201366,lab_pco2_venous_normal_46_to_49
